date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:20	140686/140686	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20May%202021%2014:37:13%20GMT	https://tn24h.com/	B:/project/tn24h/tn24h/tn24h.com/index.html	(from )
21:37:20	106/106	---M-Z	200	added ('OK')	text/plain	date:Tue,%2004%20May%202021%2014:37:13%20GMT	https://tn24h.com/robots.txt		(from )
21:37:20	1139/1139	---M--	403	error ('Forbidden')	text/html	date:Tue,%2004%20May%202021%2014:37:13%20GMT	https://tn24h.com/xmlrpc.php	B:/project/tn24h/tn24h/tn24h.com/xmlrpc.php	(from https://tn24h.com/)
21:37:21	58171/58171	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Apr%202021%2023:50:28%20GMT	https://tn24h.com/wp-includes/css/dist/block-library/style.min.css?ver=5.7.1	B:/project/tn24h/tn24h/tn24h.com/wp-includes/css/dist/block-library/style.mina78f.css	(from https://tn24h.com/)
21:37:21	3276/3276	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2015:14:50%20GMT	https://tn24h.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=4.7.2	B:/project/tn24h/tn24h/tn24h.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-stylee100.css	(from https://tn24h.com/)
21:37:21	170853/170853	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2015:14:50%20GMT	https://tn24h.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=4.7.2	B:/project/tn24h/tn24h/tn24h.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylee100.css	(from https://tn24h.com/)
21:37:22	38939/38939	---MCZ	200	added ('OK')	application/rss+xml	etag:%222a043615988259e5c5ffeef8b9ba673b%22	https://tn24h.com/feed/	B:/project/tn24h/tn24h/tn24h.com/feed/index.html	(from https://tn24h.com/)
21:37:22	2630/2630	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Apr%202021%2007:41:43%20GMT	https://tn24h.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4	B:/project/tn24h/tn24h/tn24h.com/wp-content/plugins/contact-form-7/includes/css/styles91d5.css	(from https://tn24h.com/)
21:37:22	6873/6873	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Mar%202021%2023:57:36%20GMT	https://tn24h.com/wp-content/plugins/wish-list-for-woocommerce/assets/css/alg-wc-wish-list.min.css?ver=210310-235736	B:/project/tn24h/tn24h/tn24h.com/wp-content/plugins/wish-list-for-woocommerce/assets/css/alg-wc-wish-list.min44d6.css	(from https://tn24h.com/)
21:37:22	701/701	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a8589856bda13abfe59b4705fae40151%22	https://tn24h.com/comments/feed/	B:/project/tn24h/tn24h/tn24h.com/comments/feed/index.html	(from https://tn24h.com/)
21:37:23	51215/51215	---MCZ	200	added ('OK')	text/css	etag:W/%221cc6c92172d124fbd305ba3d8e263333%22	https://use.fontawesome.com/releases/v5.5.0/css/all.css?ver=5.7.1	B:/project/tn24h/tn24h/use.fontawesome.com/releases/v5.5.0/css/alla78f.css	(from https://tn24h.com/)
21:37:23	24991/24991	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Mar%202021%2023:57:36%20GMT	https://tn24h.com/wp-content/plugins/wish-list-for-woocommerce/assets/vendor/izitoast/css/iziToast.min.css?ver=210310-235736	B:/project/tn24h/tn24h/tn24h.com/wp-content/plugins/wish-list-for-woocommerce/assets/vendor/izitoast/css/iziToast.min44d6.css	(from https://tn24h.com/)
21:37:23	4404/4404	---M--	200	added ('OK')	font/woff2	date:Sat,%2017%20Apr%202021%2015:14:39%20GMT	https://tn24h.com/wp-content/plugins/ti-woocommerce-wishlist/assets/fonts/tinvwl-webfont.woff2?ver=xu2uyi	B:/project/tn24h/tn24h/tn24h.com/wp-content/plugins/ti-woocommerce-wishlist/assets/fonts/tinvwl-webfontffc1.woff2	(from https://tn24h.com/)
21:37:23	3419/3419	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2015:14:39%20GMT	https://tn24h.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/webfont.min.css?ver=1.25.2	B:/project/tn24h/tn24h/tn24h.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/webfont.min8b20.css	(from https://tn24h.com/)
21:37:24	32218/32218	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2015:14:39%20GMT	https://tn24h.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/public.min.css?ver=1.25.2	B:/project/tn24h/tn24h/tn24h.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/public.min8b20.css	(from https://tn24h.com/)
21:37:24	16316/16316	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2015:14:39%20GMT	https://tn24h.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/theme.min.css?ver=1.25.2	B:/project/tn24h/tn24h/tn24h.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/theme.min8b20.css	(from https://tn24h.com/)
21:37:24	179432/179432	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Mar%202021%2001:46:49%20GMT	https://tn24h.com/wp-content/themes/mrseadev/assets/css/style-min.css?ver=1.0	B:/project/tn24h/tn24h/tn24h.com/wp-content/themes/mrseadev/assets/css/style-min5152.css	(from https://tn24h.com/)
21:37:24	21506/21506	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Apr%202021%2000:35:38%20GMT	https://tn24h.com/wp-content/themes/mrseadev-child/style.css?ver=1.0.0	B:/project/tn24h/tn24h/tn24h.com/wp-content/themes/mrseadev-child/style8a54.css	(from https://tn24h.com/)
21:37:25	59016/59016	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Mar%202021%2020:02:18%20GMT	https://tn24h.com/wp-includes/css/dashicons.min.css?ver=5.7.1	B:/project/tn24h/tn24h/tn24h.com/wp-includes/css/dashicons.mina78f.css	(from https://tn24h.com/)
